HMDB_code	HMDB_name
HMDB0000237	Propionic acid
HMDB01873	isobutyric acid
HMDB02329	Oxalic acid
HMDB00005	2-Oxobutanoate
HMDB00060	Acetoacetate
HMDB01259	Succinate semialdehyde
HMDB01352	Hydroxypyruvate
HMDB00691	Malonate
HMDB04230	Pyrrole-2-carboxylate
HMDB00620	(E)-Glutaconate
HMDB00634	citraconate
HMDB00491	(S)-3-Methyl-2-oxopentanoic acid
HMDB00408	2-Methyl-3-ketovalericacid
HMDB00223	Oxaloacetate
HMDB00606	Hydroxyglutarate
HMDB00669	2-Hydroxyphenylacetate
HMDB00635	Succinylacetone
HMDB00355	3-Hydroxy-3-methylglutarate
HMDB00345	3-Hydroxyadipicacid
HMDB00205	Phenylpyruvate
HMDB00748	Phenyllactate
